OBJECTID_1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y,geometry
154,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,21,20820,3 Year,Underground,Grade 3,No,Main,Main,Curb,<Null>,5,<Null>,<Null>,CGI,ba599203,<Null>,1901,19TH ST N,<Null>,<Null>,Birmingham,<Null>,2020,Southern Cross,<Null>,<Null>,2020-02-17,leighton.landrum1,2020-02-17,leighton.landrum1,10579308,9200020820,<Null>,<Null>,-86.827999,33.548827,"c(-86.827999, 33.5488270000001)"
155,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,82,21467,3 Year,Underground,Grade 3,No,<Null>,Regulator Station,20'+ FRM Building,Concrete,<Null>,2,<Null>,CGI,N/A,N/A,2131,29TH AVE N,22nd St. N.,<Null>,<Null>,Regulator station,2020,Southern Cross,<Null>,<Null>,2020-03-10,Jackie.Butts1,2020-03-10,Jackie.Butts1,10580269,9200021467,<Null>,<Null>,-86.823539,33.548874,"c(-86.823539, 33.5488740000001)"
156,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,83,21469,3 Year,Underground,Grade 3,No,<Null>,<Null>,20'+ FRM Building,Concrete,<Null>,20,<Null>,CGI,N/A,N/A,2131,29TH AVE N,NA,<Null>,<Null>,"Regulator station, unable to access",2020,Southern Cross,<Null>,<Null>,2020-03-10,Jackie.Butts1,2020-03-10,Jackie.Butts1,10580270,9200021469,<Null>,<Null>,-86.823639,33.548932,"c(-86.823639, 33.548932)"
157,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,81,21466,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,28,<Null>,<Null>,CGI,N/A,N/A,2130,29TH AVE N,22nd St. N.,<Null>,<Null>,"At curb on/near gas pipeline, next to utility pole",2020,Southern Cross,<Null>,<Null>,2020-03-10,Jackie.Butts1,2020-03-10,Jackie.Butts1,10580268,9200021466,<Null>,<Null>,-86.823402,33.549166,"c(-86.823402, 33.5491660000001)"
158,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,89,21484,3 Year,Underground,Grade 3,No,Main,Main,20'+ FRM Building,Concrete,<Null>,8,<Null>,CGI,N/A,N/A,2716,25TH ST N,<Null>,<Null>,<Null>,Brown Machine & Welding,2020,Southern Cross,<Null>,<Null>,2020-03-11,Jackie.Butts1,2020-03-11,Jackie.Butts1,10580279,9200021484,<Null>,<Null>,-86.818538,33.549184,"c(-86.818538, 33.549184)"
159,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,80,21465,3 Year,Underground,Grade 1,No,Valve,Main,<10' FRM Building,<Null>,6,<Null>,<Null>,CGI,Meter - no meter #,Meter - no meter #,2130,29TH AVE N,22nd St. N.,<Null>,<Null>,"Below ground gas valves × 2,",2020,Southern Cross,<Null>,<Null>,2020-03-10,Jackie.Butts1,2020-03-10,Jackie.Butts1,10580004,9200021465,<Null>,<Null>,-86.823509,33.549244,"c(-86.8235089999999, 33.549244)"
160,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,88,21483,3 Year,Underground,Grade 2,No,Service Riser,Service,20'+ FRM Building,Unsurfaced,<Null>,92,<Null>,CGI,CZ5946,CZ5946,2716,25TH ST N,<Null>,<Null>,<Null>,"Multiple leaks, gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-11,Jackie.Butts1,2020-03-11,Jackie.Butts1,10580278,9200021483,<Null>,<Null>,-86.818359,33.549448,"c(-86.818359, 33.549448)"
161,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,79,21458,3 Year,Underground,Grade 3,No,<Null>,<Null>,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2329,29TH AVE N,<Null>,<Null>,<Null>,Methane detected from sewer manhole in street,2020,Southern Cross,<Null>,<Null>,2020-03-09,Jackie.Butts1,2020-03-09,Jackie.Butts1,10580266,9200021458,<Null>,<Null>,-86.820312,33.549471,"c(-86.8203119999999, 33.549471)"
162,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,84,21470,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,35,<Null>,<Null>,CGI,N/A,N/A,2224,29TH AVE N,23rd St. N.,<Null>,<Null>,"Around utility pole, on/near gas pipeline",2020,Southern Cross,<Null>,<Null>,2020-03-10,Jackie.Butts1,2020-03-10,Jackie.Butts1,10580271,9200021470,<Null>,<Null>,-86.821955,33.549602,"c(-86.8219549999999, 33.549602)"
163,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,93,21495,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,82,<Null>,<Null>,CGI,N/A,N/A,2429,29TH AVE N,<Null>,<Null>,<Null>,"Along fence, next to railroad tracks, gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-11,Jackie.Butts1,2020-03-11,Jackie.Butts1,10580284,9200021495,<Null>,<Null>,-86.818848,33.549704,"c(-86.8188479999999, 33.5497040000001)"
